runId,modelId,benchmarkId,y,yHat,z,used
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet,livecodebench-v6-pro,-0.13219216,-0.14193854,0.15793972,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet,lmarena-text-style-controlled,-0.14329733,-0.047892053,-21.68162,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet,metr-time-horizon-1.1,-2.2448115,-1.3551584,-3.4398441,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet-20241022,hle-no-tools,-3.1574175,-3.091495,-0.64828175,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet-20241022,lmarena-text-style-controlled,-0.06587412,-0.10736734,10.149994,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet-20241022,matharena-composite,-4.498799,-4.286089,-0.37811616,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.5-sonnet-20241022,metr-time-horizon-1.1,-1.8204197,-1.750457,-0.2730713,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.7-sonnet,hle-no-tools,-2.4369247,-2.3978546,-0.52914053,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.7-sonnet,livecodebench-v6-pro,0.06001801,0.058715425,0.021144934,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-3.7-sonnet,matharena-composite,-3.1026032,-3.3607142,0.71767056,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,arc-agi-2-semi-private,2.1078794,2.261027,-0.5214144,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,frontiermath-v2-tier-4,1.974081,1.4956576,1.0265949,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,frontiermath-v2-tiers-1-3,1.9025109,2.1646423,-1.5132551,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,hle-no-tools,0.31456855,0.2693226,1.1173003,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,lmarena-text-style-controlled,0.26851147,0.26399422,0.7114514,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,matharena-composite,0.1442496,0.19752485,-1.2371395,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,osworld-2.0,-0.5710265,-0.60163534,0.15277877,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,swe-rebench,0.5971325,0.57922196,0.29085618,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,tau3-bench-banking,-0.41839865,-0.09095001,-1.5778449,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5,terminal-bench-4.0,-0.21886957,-0.33511248,1.4650744,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,arc-agi-2-semi-private,2.1972246,2.3743727,-0.5821681,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,frontiermath-v2-tier-4,1.974081,1.6072665,0.7871058,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,frontiermath-v2-tiers-1-3,2.2168715,2.2398663,-0.11755456,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,hle-no-tools,-0.14022934,0.30908817,-10.954339,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,osworld-2.0,-0.33510098,-0.4254119,0.4627587,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-fable-5.1,terminal-bench-4.0,0.31784922,-0.251571,7.2301702,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-haiku-4.5,swe-bench-pro-public,-0.42843542,-0.41149062,-0.223473,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4,livecodebench-v6-pro,0.4179809,0.46117282,-0.68640816,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4,matharena-composite,-2.5563657,-2.9449203,1.5898142,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4,metr-time-horizon-1.1,-0.6754357,-1.0121433,1.8255872,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.1,frontiermath-v2-tier-4,-3.6888795,-4.729566,1.0526899,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.1,frontiermath-v2-tiers-1-3,-1.933934,-2.0311284,0.5545733,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.1,livecodebench-v6-pro,0.5236463,0.63872343,-1.8066186,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.1,lmarena-text-style-controlled,0.11917384,0.018910034,26.194311,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.1,metr-time-horizon-1.1,-0.6746751,-0.9111626,1.2986454,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,frontiermath-v2-tier-4,-2.9704144,-2.625271,-0.4875254,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,frontiermath-v2-tiers-1-3,-0.6461411,-0.61284363,-0.27165118,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,lmarena-text-style-controlled,0.17339942,0.10175516,17.551624,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,metr-time-horizon-1.1,0.09736512,-0.3605378,1.8434763,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,swe-bench-pro-public,-0.16477178,-0.6012956,5.9014277,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.5,tau3-bench-banking,-1.1125274,-1.3353037,0.9467531,true
10749d7a-3762-4dd9-b98d-5e2d2cdf0383,claude-opus-4.6,frontiermath-v2-tier-4,-1.0033021,-0.9456864,-0.16739729,true
