id,slug,name,org,family,releaseDate,openWeights,license,reasoningConfig,reasoning,weightsDate,trainingCutoff,defaultEffortTier,maxEffortTier,effortTierOrder,aliases,contextLength,maxOutput,sourceUrl,metadataSources,status,paramsTotalB,paramsActiveB,modality,sizeClass
a-x-k2,a-x-k2,A.X-K2,SK Telecom,A.X-K2,2026-08-12,true,Apache-2.0,{},true,,,,,[],"[""A.X-K2"",""a-x-k2""]",262144,,https://huggingface.co/skt/A.X-K2,"[""https://huggingface.co/skt/A.X-K2"",""https://artificialanalysis.ai/models/a-x-k2""]",active,,,text,unknown
agnes-2-5-pro-alpha,agnes-2-5-pro-alpha,Agnes 2.5 Pro Alpha,Sapiens AI,Agnes,2026-07-24,true,Apache-2.0,{},true,,,,,[],"[""Agnes-2.5-Pro-Alpha"",""Agnes 2.5 Pro Alpha"",""agnes-2-5-pro-alpha""]",1000000,,https://huggingface.co/Agnes-AI/Agnes-2.5-Pro-Alpha,"[""https://huggingface.co/Agnes-AI/Agnes-2.5-Pro-Alpha"",""https://artificialanalysis.ai/models/agnes-2-5-pro-alpha""]",preview,,,multimodal,unknown
agnes-2-5-pro-beta,agnes-2-5-pro-beta,Agnes 2.5 Pro Beta,Sapiens AI,Agnes,2026-08-26,false,Proprietary,{},true,,,,,[],"[""Agnes 2.5 Pro Beta"",""agnes-2-5-pro-beta""]",1000000,,https://beta.agnes-ai.com/,"[""https://beta.agnes-ai.com/"",""https://artificialanalysis.ai/models/agnes-2-5-pro-beta""]",preview,,,multimodal,unknown
apodex-1-1,apodex-1-1,Apodex 1.1,Apodex,Apodex,2026-08-30,false,Proprietary,{},true,,,,,[],"[""Apodex 1.1"",""apodex-1-1""]",256000,,https://arxiv.org/abs/2608.23283,"[""https://arxiv.org/abs/2608.23283"",""https://artificialanalysis.ai/models/apodex-1-1""]",active,,,multimodal,unknown
claude-opus-4.5,claude-opus-4.5,Claude Opus 4.5,Anthropic,Claude 4.5,2025-11-24,false,Proprietary,{},,,,,,[],"[""Opus 4.5"",""claude-opus-4-5-20251101""]",,,https://www.anthropic.com/news/claude-opus-4-5,[],active,,,text,unknown
claude-opus-4.6,claude-opus-4.6,Claude Opus 4.6,Anthropic,Claude 4.6,2026-02-05,false,Proprietary,{},,,,,,[],"[""Anthropic Opus 4.6"",""claude-opus-4-6""]",,,https://www.anthropic.com/news/claude-opus-4-6,[],active,,,text,unknown
claude-3.5-sonnet-20241022,claude-3.5-sonnet-20241022,Claude 3.5 Sonnet (October 2024),Anthropic,Claude 3.5,2024-10-22,false,Proprietary,"{""control"":""none""}",false,2024-10-22,,default,,"[""default""]","[""claude-3-5-sonnet-20241022""]",,,https://www.anthropic.com/news/3-5-models-and-computer-use,"[""https://www.anthropic.com/news/3-5-models-and-computer-use"",""https://platform.claude.com/docs/en/about-claude/model-deprecations"",""https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf""]",active,,,text,unknown
claude-3.5-sonnet,claude-3.5-sonnet,Claude 3.5 Sonnet,Anthropic,Claude 3.5,2024-06-20,false,Proprietary,{},,,,,,[],"[""claude-3-5-sonnet-20240620""]",,,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,[],active,,,text,unknown
claude-3.7-sonnet,claude-3.7-sonnet,Claude 3.7 Sonnet,Anthropic,Claude 3.7,2025-02-24,false,Proprietary,"{""control"":""numeric_token_budget"",""default"":""omitted"",""maximum"":""128K"",""minimum"":1024,""parameter"":""thinking.budget_tokens""}",true,2025-02-19,,standard,thinking.budget_tokens=128K,"[""standard"",""thinking.budget_tokens=128K""]","[""Claude 3.7"",""claude-3-7-sonnet-20250219""]",,,https://www.anthropic.com/news/claude-3-7-sonnet,"[""https://www.anthropic.com/news/claude-3-7-sonnet"",""https://platform.claude.com/docs/en/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/build-with-claude/extended-thinking"",""https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf""]",active,,,text,unknown
claude-fable-5.1,claude-fable-5.1,Claude Fable 5.1,Anthropic,Claude 5,2026-09-01,false,Proprietary,{},,,,,,[],"[""Fable 5.1""]",,,https://www.anthropic.com/claude-fable-and-mythos-5-1,[],active,,,text,unknown
claude-fable-5,claude-fable-5,Claude Fable 5,Anthropic,Claude 5,2026-06-09,false,Proprietary,{},,,,,,[],"[""Fable 5""]",,,https://www.anthropic.com/news/claude-fable-5-mythos-5,[],active,,,text,unknown
claude-haiku-4.5,claude-haiku-4.5,Claude Haiku 4.5,Anthropic,Claude 4.5,2025-10-15,false,Proprietary,{},,,,,,[],"[""claude-4-5-haiku""]",,,https://www.anthropic.com/news/claude-haiku-4-5,[],active,,,text,unknown
claude-opus-4.1,claude-opus-4.1,Claude Opus 4.1,Anthropic,Claude 4,2025-08-05,false,Proprietary,"{""control"":""numeric_token_budget"",""default"":""omitted"",""minimum"":1024,""parameter"":""thinking.budget_tokens""}",true,2025-08-05,,standard,,"[""standard"",""extended-thinking""]","[""claude-opus-4-1"",""claude-opus-4-1-20250805"",""claude-opus-4-1-20250805-thinking"",""anthropic/claude-opus-4.1""]",,,https://www.anthropic.com/news/claude-opus-4-1,"[""https://www.anthropic.com/news/claude-opus-4-1"",""https://platform.claude.com/docs/en/build-with-claude/extended-thinking"",""https://support.anthropic.com/en/articles/8114494-how-up-to-date-is-claude-s-training-data""]",active,,,text,unknown
claude-opus-4.7,claude-opus-4.7,Claude Opus 4.7,Anthropic,Claude 4.7,2026-04-16,false,Proprietary,{},,,,,,[],"[""Opus 4.7""]",,,https://www.anthropic.com/news/claude-opus-4-7,[],active,,,text,unknown
claude-opus-4.8,claude-opus-4.8,Claude Opus 4.8,Anthropic,Claude 4.8,2026-05-28,false,Proprietary,{},,,,,,[],"[""Opus 4.8""]",,,https://www.anthropic.com/news/claude-opus-4-8,[],active,,,text,unknown
claude-opus-4,claude-opus-4,Claude Opus 4,Anthropic,Claude 4,2025-05-22,false,Proprietary,{},,,,,,[],[],,,https://www.anthropic.com/news/claude-4,[],active,,,text,unknown
claude-opus-5,claude-opus-5,Claude Opus 5,Anthropic,Claude 5,2026-07-24,false,Proprietary,{},,,,,,[],"[""Opus 5"",""Claude-Opus-5""]",,,https://www.anthropic.com/news/claude-opus-5,[],active,,,text,unknown
claude-sonnet-4.5,claude-sonnet-4.5,Claude Sonnet 4.5,Anthropic,Claude 4.5,2025-09-29,false,Proprietary,{},,,,,,[],"[""Claude 4.5 Sonnet"",""claude-sonnet-4-5"",""claude-sonnet-4-5-20250929"",""claude-sonnet-4-5-20250929-thinking"",""anthropic/claude-sonnet-4.5""]",,,https://www.anthropic.com/news/claude-sonnet-4-5,[],active,,,text,unknown
qwen3.5-397b-a17b,qwen3.5-397b-a17b,Qwen3.5 397B-A17B,Alibaba,Qwen3.5,2026-02-15,true,,{},,,,,,[],[],,,https://qwen.ai/blog?id=qwen3.5,[],active,,,text,unknown
claude-sonnet-4.6,claude-sonnet-4.6,Claude Sonnet 4.6,Anthropic,Claude 4.6,2026-02-17,false,Proprietary,{},,,,,,[],[],,,https://www.anthropic.com/news/claude-sonnet-4-6,[],active,,,text,unknown
claude-sonnet-4,claude-sonnet-4,Claude Sonnet 4,Anthropic,Claude 4,2025-05-22,false,Proprietary,"{""control"":""numeric_token_budget"",""default"":""omitted"",""minimum"":1024,""parameter"":""thinking.budget_tokens""}",true,2025-05-14,,standard,,"[""standard"",""extended-thinking""]","[""claude-sonnet-4-20250514"",""claude-4-Sonnet""]",,,https://www.anthropic.com/news/claude-4,"[""https://platform.claude.com/docs/en/about-claude/model-deprecations"",""https://platform.claude.com/docs/en/build-with-claude/extended-thinking"",""https://www.anthropic.com/news/claude-4"",""https://www-cdn.anthropic.com/4263b940cabb546aa0e3283f35b686f4f3b2ff47.pdf"",""https://platform.claude.com/docs/en/release-notes/system-prompts/claude-sonnet-4""]",active,,,text,unknown
claude-sonnet-5,claude-sonnet-5,Claude Sonnet 5,Anthropic,Claude 5,2026-06-30,false,Proprietary,{},,,,,,[],"[""Sonnet 5""]",,,https://www.anthropic.com/news/claude-sonnet-5,[],active,,,text,unknown
deepseek-v3.2,deepseek-v3.2,DeepSeek-V3.2,DeepSeek,DeepSeek V3,2025-12-01,true,,{},,,,,,[],"[""Deepseek V3.2"",""deepseek-v3p2"",""deepseek-v3.2-chat"",""deepseek-v3.2-reasoner""]",,,https://api-docs.deepseek.com/news/news251201,[],active,,,text,unknown
deepseek-v4-flash-0731,deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,DeepSeek,DeepSeek V4,2026-07-31,true,MIT,{},true,,,max,max,"[""low"",""high"",""max""]","[""DeepSeek-V4-Flash-0731"",""deepseek/deepseek-v4-flash-0731""]",1000000,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731,"[""https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731"",""https://artificialanalysis.ai/models/deepseek-v4-flash""]",active,,,text,unknown
deepseek-v4-flash-vision-exp,deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,DeepSeek,DeepSeek V4,2026-08-21,true,MIT,{},true,,,max,max,"[""low"",""high"",""max""]",[],1000000,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-Vision-Exp,"[""https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-Vision-Exp"",""https://artificialanalysis.ai/models/deepseek-v4-flash-vision""]",preview,,,multimodal,unknown
deepseek-v4-pro-0424,deepseek-v4-pro-0424,DeepSeek V4 Pro (0424 Preview),DeepSeek,DeepSeek V4,2026-04-24,true,MIT,{},true,,,max,max,"[""none"",""high"",""max""]","[""DeepSeek-V4-Pro-0424"",""DeepSeek V4 Pro Preview""]",1000000,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,"[""https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro"",""https://artificialanalysis.ai/models/deepseek-v4-pro-0424""]",preview,,,text,unknown
deepseek-v4-pro-0813,deepseek-v4-pro-0813,DeepSeek V4 Pro 0813,DeepSeek,DeepSeek V4,2026-08-13,true,MIT,{},true,,,max,max,"[""low"",""high"",""max""]","[""DeepSeek-V4-Pro-0813""]",1000000,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro-0813,"[""https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro-0813"",""https://artificialanalysis.ai/models/deepseek-v4-pro""]",active,,,text,unknown
gemini-1.5-pro,gemini-1.5-pro,Gemini 1.5 Pro,Google DeepMind,Gemini 1.5,2024-02-15,false,Proprietary,{},,,,,,[],"[""Gemini-1.5-Pro-002"",""Gemini 1.5 Pro (Sept 2024)""]",,,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,[],active,,,text,unknown
gemini-2.0-flash-thinking,gemini-2.0-flash-thinking,Gemini 2.0 Flash Thinking,Google DeepMind,Gemini 2.0,2024-12-19,false,Proprietary,{},,,,,,[],"[""Gemini 2.0 Flash Thinking (Jan 2025)"",""Gemini 2.0 Flash Thinking (January 2025)""]",,,https://deepmind.google/technologies/gemini/flash-thinking/,[],active,,,text,unknown
gemini-2.5-flash,gemini-2.5-flash,Gemini 2.5 Flash,Google DeepMind,Gemini 2.5,2025-06-17,false,Proprietary,"{""control"":""numeric_token_budget"",""default"":-1,""maximum"":24576,""minimum"":0,""parameter"":""thinkingBudget"",""thinking_can_be_disabled"":true}",true,,,thinkingBudget=-1,thinkingBudget=24576,[],"[""gemini-2.5-flash""]",,,https://ai.google.dev/gemini-api/docs/models/gemini-2.5-flash,"[""https://ai.google.dev/gemini-api/docs/models/gemini-2.5-flash"",""https://ai.google.dev/gemini-api/docs/generate-content/thinking"",""https://blog.google/products-and-platforms/products/gemini/gemini-2-5-model-family-expands/""]",active,,,text,unknown
gemini-2.5-pro-20250325,gemini-2.5-pro-20250325,Gemini 2.5 Pro (Mar 2025),Google DeepMind,Gemini 2.5,2025-03-25,false,Proprietary,{},,,,,,[],"[""Gemini 2.5 Pro Experimental (March 2025)""]",,,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/#gemini-2-5-thinking,[],active,,,text,unknown
gemini-2.5-pro-20250506,gemini-2.5-pro-20250506,Gemini 2.5 Pro (May 2025),Google DeepMind,Gemini 2.5,2025-05-06,false,Proprietary,{},,,,,,[],"[""Gemini 2.5 Pro Preview (May 06 2025)""]",,,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/#gemini-2-5-thinking,[],active,,,text,unknown
gemini-2.5-pro,gemini-2.5-pro,Gemini 2.5 Pro,Google,Gemini 2.5,2025-06-17,false,Proprietary,"{""control"":""numeric_token_budget"",""default"":-1,""maximum"":32768,""minimum"":128,""parameter"":""thinkingBudget"",""thinking_can_be_disabled"":false}",true,,,thinkingBudget=-1,thinkingBudget=32768,[],"[""Gemini 2.5 Pro (Jun 2025)"",""google/gemini-2.5-pro""]",,,https://ai.google.dev/gemini-api/docs/models/gemini-2.5-pro,"[""https://ai.google.dev/gemini-api/docs/models/gemini-2.5-pro"",""https://ai.google.dev/gemini-api/docs/generate-content/thinking"",""https://blog.google/products-and-platforms/products/gemini/gemini-2-5-model-family-expands/""]",active,,,text,unknown
gemini-3-flash,gemini-3-flash,Gemini 3 Flash,Google DeepMind,Gemini 3,2025-12-17,false,Proprietary,{},,,,,,[],"[""Gemini 3 Flash Preview"",""gemini-3-flash""]",,,,[],active,,,text,unknown
gemini-3-pro,gemini-3-pro,Gemini 3 Pro,Google DeepMind,Gemini 3,2025-11-18,false,Proprietary,{},,,,,,[],"[""gemini-3-pro-preview""]",,,https://blog.google/products/gemini/gemini-3/,[],active,,,text,unknown
gemini-3.1-pro,gemini-3.1-pro,Gemini 3.1 Pro,Google DeepMind,Gemini 3.1,2026-02-19,false,Proprietary,{},,,,,,[],"[""Gemini 3.1 Pro Preview"",""Gemini 3.1 Pro (Preview)"",""gemini-3.1-pro-preview""]",,,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,[],active,,,text,unknown
gemini-3.5-flash-lite,gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,Google DeepMind,Gemini 3.5,2026-07-21,false,Proprietary,{},true,,,,,[],"[""google/gemini-3.5-flash-lite"",""Gemini 3.5 Flash-Lite"",""gemini-3-5-flash-lite""]",1048576,65536,https://ai.google.dev/gemini-api/docs/models/gemini-3.5-flash-lite,"[""https://ai.google.dev/gemini-api/docs/models/gemini-3.5-flash-lite"",""https://artificialanalysis.ai/models/gemini-3-5-flash-lite""]",active,,,multimodal,unknown
gemini-3.5-flash,gemini-3.5-flash,Gemini 3.5 Flash,Google DeepMind,Gemini 3.5,2026-05-19,false,Proprietary,{},true,,,medium,high,"[""minimal"",""low"",""medium"",""high""]","[""google/gemini-3.5-flash"",""Gemini 3.5 Flash"",""gemini-3-5-flash-medium""]",1048576,65536,https://ai.google.dev/gemini-api/docs/models/gemini-3.5-flash,"[""https://ai.google.dev/gemini-api/docs/models/gemini-3.5-flash"",""https://artificialanalysis.ai/models/gemini-3-5-flash-medium""]",active,,,multimodal,unknown
gemini-3.6-flash,gemini-3.6-flash,Gemini 3.6 Flash,Google DeepMind,Gemini 3.6,2026-07-21,false,Proprietary,{},true,,,,,[],"[""google/gemini-3.6-flash"",""Gemini 3.6 Flash"",""gemini-3-6-flash""]",1048576,65536,https://ai.google.dev/gemini-api/docs/models/gemini-3.6-flash,"[""https://ai.google.dev/gemini-api/docs/models/gemini-3.6-flash"",""https://artificialanalysis.ai/models/gemini-3-6-flash""]",active,,,multimodal,unknown
gemini-3.7-flash,gemini-3.7-flash,Gemini 3.7 Flash,Google DeepMind,Gemini 3.7,2026-08-13,false,Proprietary,{},,,,,,[],[],,,https://ai.google.dev/gemini-api/docs/models/gemini-3.7-flash,[],active,,,text,unknown
gemini-3.8-flash,gemini-3.8-flash,Gemini 3.8 Flash,Google DeepMind,Gemini 3.8,2026-09-02,false,Proprietary,{},true,,,high,high,"[""low"",""medium"",""high""]","[""gemini-3.8"",""gemini3.8"",""Gemini 3.8"",""gemini-3.8-flash""]",1048576,65536,https://ai.google.dev/gemini-api/docs/models/gemini-3.8-flash,"[""https://ai.google.dev/gemini-api/docs/models/gemini-3.8-flash""]",active,,,text,unknown
glm-4.5,glm-4.5,GLM-4.5,Z.ai,GLM-4,2025-07-28,true,,{},,,,,,[],[],,,https://arxiv.org/abs/2508.06471,[],active,,,text,unknown
glm-4.6,glm-4.6,GLM-4.6,Z.ai,GLM-4,2025-09-30,true,,{},,,,,,[],[],,,https://z.ai/blog/glm-4.6,[],active,,,text,unknown
glm-5.2,glm-5.2,GLM-5.2,Z.ai,GLM-5,2026-06-16,true,MIT,{},,,,,,[],[],,,https://z.ai/blog/glm-5.2,[],active,,,text,unknown
glm-5.3-flash,glm-5.3-flash,GLM-5.3-Flash,Z.ai,GLM-5,2026-08-26,true,MIT,{},true,,,max,max,"[""low"",""high"",""max""]","[""GLM-5.3-Flash"",""z-ai/glm-5.3-flash"",""glm-5-3-flash""]",1048576,131072,https://huggingface.co/zai-org/GLM-5.3-Flash,"[""https://huggingface.co/zai-org/GLM-5.3-Flash"",""https://artificialanalysis.ai/models/glm-5-3-flash""]",active,320,18,multimodal,unknown
glm-5.3,glm-5.3,GLM-5.3,Z.ai,GLM-5,2026-08-14,false,Proprietary,{},,,,,,[],[],,,https://z.ai/blog/glm-5.3,[],active,,,text,unknown
glm-5,glm-5,GLM-5,Z.ai,GLM-5,2026-02-12,true,MIT,{},,,,,,[],[],,,https://z.ai/blog/glm-5,[],active,,,text,unknown
gpt-4.1-mini,gpt-4.1-mini,GPT-4.1 mini,OpenAI,GPT-4.1,2025-04-14,false,Proprietary,{},,,,,,[],"[""gpt-4.1-mini-2025-04-14""]",,,https://openai.com/index/gpt-4-1/,[],active,,,text,unknown
gpt-4.1-nano,gpt-4.1-nano,GPT-4.1 nano,OpenAI,GPT-4.1,2025-04-14,false,Proprietary,{},,,,,,[],"[""gpt-4.1-nano-2025-04-14""]",,,https://openai.com/index/gpt-4-1/,[],active,,,text,unknown
gpt-4.1,gpt-4.1,GPT-4.1,OpenAI,GPT-4.1,2025-04-14,false,Proprietary,"{""control"":""none""}",false,2025-04-14,,default,,"[""default""]","[""gpt-4.1-2025-04-14""]",,,https://openai.com/index/gpt-4-1/,"[""https://developers.openai.com/api/docs/models/gpt-4.1"",""https://openai.com/index/gpt-4-1/""]",active,,,text,unknown
gpt-4.5,gpt-4.5,GPT-4.5,OpenAI,GPT-4,2025-02-27,false,Proprietary,{},,,,,,[],"[""GPT 4.5 Preview""]",,,https://openai.com/index/introducing-gpt-4-5/,[],active,,,text,unknown
gpt-4o-2024-11-20,gpt-4o-2024-11-20,GPT-4o (Nov 2024),OpenAI,GPT-4o,2024-11-20,false,Proprietary,"{""control"":""none""}",false,2024-11-20,,default,,"[""default""]","[""GPT-4o (November 2024)""]",,,https://help.openai.com/en/articles/9624314-model-release-notes,"[""https://developers.openai.com/api/docs/models/gpt-4o"",""https://help.openai.com/en/articles/9624314-model-release-notes""]",active,,,text,unknown
gpt-5-2025-08-07,gpt-5-2025-08-07,GPT-5 (2025-08-07),OpenAI,GPT-5,2025-08-07,false,Proprietary,{},,,,,,[],"[""GPT-5"",""gpt-5"",""openai/gpt-5"",""openai/gpt-5-2025-08-07""]",,,https://openai.com/index/introducing-gpt-5/,[],active,,,text,unknown
gpt-5-mini,gpt-5-mini,GPT-5 mini,OpenAI,GPT-5,2025-08-07,false,Proprietary,{},,,,,,[],"[""gpt-5-mini-2025-08-07""]",,,https://cdn.openai.com/gpt-5-system-card.pdf,[],active,,,text,unknown
gpt-5-nano,gpt-5-nano,GPT-5 nano,OpenAI,GPT-5,2025-08-07,false,Proprietary,{},,,,,,[],"[""gpt-5-nano-2025-08-07""]",,,https://cdn.openai.com/gpt-5-system-card.pdf,[],active,,,text,unknown
gpt-5-pro,gpt-5-pro,GPT-5 Pro,OpenAI,GPT-5,2025-10-07,false,Proprietary,{},,,,,,[],"[""gpt-5-pro-2025-10-06""]",,,https://cdn.openai.com/gpt-5-system-card.pdf,[],active,,,text,unknown
gpt-5.1-codex-max,gpt-5.1-codex-max,GPT-5.1-Codex-Max,OpenAI,GPT-5,2025-11-19,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/gpt-5-1-codex-max/,[],active,,,text,unknown
gpt-5.1,gpt-5.1,GPT-5.1,OpenAI,GPT-5,2025-11-13,false,Proprietary,"{""control"":""categorical"",""parameter"":""reasoning.effort""}",true,,,none,high,"[""none"",""low"",""medium"",""high""]","[""gpt-5.1-instant"",""gpt-5.1-thinking""]",,,https://openai.com/index/gpt-5-1/,"[""https://developers.openai.com/api/docs/models/gpt-5.1"",""https://openai.com/index/gpt-5-1-for-developers/""]",active,,,text,unknown
gpt-5.2-codex,gpt-5.2-codex,GPT-5.2 Codex,OpenAI,GPT-5,2025-12-18,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/introducing-gpt-5-2-codex/,[],active,,,text,unknown
gpt-5.2-pro,gpt-5.2-pro,GPT-5.2 Pro,OpenAI,GPT-5,2025-12-11,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/introducing-gpt-5-2/,[],active,,,text,unknown
mimo-v2-omni,mimo-v2-omni,MiMo-V2-Omni (0319),Xiaomi,MiMo,2026-03-19,false,Proprietary,{},true,,,,,[],"[""xiaomi/mimo-v2-omni""]",256000,,https://mimo.xiaomi.com/mimo-v2-omni,"[""https://mimo.xiaomi.com/mimo-v2-omni"",""https://artificialanalysis.ai/models/mimo-v2-omni""]",active,,,multimodal,unknown
gpt-5.2,gpt-5.2,GPT-5.2,OpenAI,GPT-5,2025-12-11,false,Proprietary,"{""control"":""categorical"",""parameter"":""reasoning.effort""}",true,,,none,xhigh,"[""none"",""low"",""medium"",""high"",""xhigh""]","[""gpt-5.2-2025-12-11""]",,,https://openai.com/index/introducing-gpt-5-2/,"[""https://developers.openai.com/api/docs/models/gpt-5.2"",""https://openai.com/index/introducing-gpt-5-2/""]",active,,,text,unknown
gpt-5.3-codex,gpt-5.3-codex,GPT-5.3 Codex,OpenAI,GPT-5,2026-02-05,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/introducing-gpt-5-3-codex/,[],active,,,text,unknown
gpt-5.4-pro,gpt-5.4-pro,GPT-5.4 Pro,OpenAI,GPT-5,2026-03-05,false,Proprietary,{},,,,,,[],"[""gpt-5.4-pro-2026-03-05""]",,,https://openai.com/index/introducing-gpt-5-4/,[],active,,,text,unknown
gpt-5.4,gpt-5.4,GPT-5.4,OpenAI,GPT-5,2026-03-05,false,Proprietary,{},,,,,,[],"[""gpt-5.4-2026-03-05""]",,,https://openai.com/index/introducing-gpt-5-4/,[],active,,,text,unknown
gpt-5.5-instant,gpt-5.5-instant,GPT-5.5 Instant,OpenAI,GPT-5,2026-05-05,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/gpt-5-5-instant/,[],active,,,text,unknown
gpt-5.5-pro,gpt-5.5-pro,GPT-5.5 Pro,OpenAI,GPT-5,2026-04-23,false,Proprietary,"{""control"":""categorical"",""parameter"":""reasoning.effort""}",true,,,high,xhigh,"[""medium"",""high"",""xhigh""]",[],,,https://openai.com/index/introducing-gpt-5-5/,"[""https://developers.openai.com/api/docs/models/gpt-5.5-pro""]",active,,,text,unknown
gpt-5.5,gpt-5.5,GPT-5.5,OpenAI,GPT-5,2026-04-23,false,Proprietary,"{""control"":""categorical"",""parameter"":""reasoning.effort""}",true,,,medium,xhigh,"[""none"",""low"",""medium"",""high"",""xhigh""]",[],,,https://openai.com/index/introducing-gpt-5-5/,"[""https://developers.openai.com/api/docs/models/gpt-5.5"",""https://openai.com/index/introducing-gpt-5-5/""]",active,,,text,unknown
gpt-5.6-luna,gpt-5.6-luna,GPT-5.6 Luna,OpenAI,GPT-5.6,2026-07-09,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/gpt-5-6/,[],active,,,text,unknown
