modelId,sourceId,provider,inputPerM,outputPerM,cacheReadPerM,cacheWritePerM,contextLength,maxOutput,fetchedAt
muse-spark-1.2,openrouter,openrouter,1.25,4.25,0.15,,1048576,943718,2026-09-04T01:31:47.810Z
deepseek-v4-flash-0731,openrouter,openrouter,0.065,0.18,0.016,,1310720,943718,2026-09-04T01:31:47.810Z
qwen3-235b-a22b,openrouter,openrouter,0.455,1.82,,,131072,8192,2026-09-04T01:31:47.815Z
nemotron-3-ultra,openrouter,openrouter,0.625,3.125,0.1875,,262144,32768,2026-09-04T01:31:47.811Z
gemini-3.6-flash,openrouter,openrouter,0.75,3.75,0.075,0.041666668,1048576,65536,2026-09-04T01:31:47.810Z
mimo-v2-5-pro,openrouter,openrouter,0.435,0.87,0.0036,,1050000,131072,2026-09-04T01:31:47.811Z
gpt-5.6-sol,openrouter,openrouter,2,10,0.2,2.5,1050000,128000,2026-09-04T01:31:47.810Z
gemini-3.5-flash,openrouter,openrouter,1.5,9,0.15,0.083333336,1048576,65536,2026-09-04T01:31:47.811Z
claude-opus-4.1,openrouter,openrouter,15,75,1.5,18.75,200000,32000,2026-09-04T01:31:47.815Z
kimi-k2-7-code,openrouter,openrouter,0.66,3.4,0.18,,262144,235929,2026-09-04T01:31:47.811Z
qwen3.8-27b,openrouter,openrouter,0.42,3,0.085,,1000000,131072,2026-09-04T01:31:47.809Z
gemini-2.5-pro,openrouter,openrouter,1.25,10,0.125,0.375,1048576,65536,2026-09-04T01:31:47.815Z
mimo-v2-5-0424,openrouter,openrouter,0.14,0.28,0.0028,,1050000,131072,2026-09-04T01:31:47.811Z
claude-sonnet-4.5,openrouter,openrouter,3,15,0.3,3.75,1000000,64000,2026-09-04T01:31:47.813Z
gemini-3.5-flash-lite,openrouter,openrouter,0.3,2.5,0.03,0.083333336,1048576,65536,2026-09-04T01:31:47.810Z
qwen3.7-plus,openrouter,openrouter,0.32,1.28,0.064,0.4,1000000,131072,2026-09-04T01:31:47.811Z
gpt-5-2025-08-07,openrouter,openrouter,1.25,10,0.125,,400000,128000,2026-09-04T01:31:47.814Z
qwen3.6-27b,openrouter,openrouter,0.6,3.6,0.12,,262144,235929,2026-09-04T01:31:47.811Z
glm-5.3-flash,openrouter,openrouter,0.075,0.25,0.015,,1310720,131072,2026-09-04T01:31:47.809Z
hy3,openrouter,openrouter,0.132,0.528,0.033,,262144,128000,2026-09-04T01:31:47.810Z
minimax-m3,openrouter,openrouter,0.3,1.2,0.06,,1048576,512000,2026-09-04T01:31:47.811Z
