runId,modelId,systemId,profile,benchmarkId,y,yHat,z,used
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet-20241022,claude-3.5-sonnet-20241022@max-common,max,hle-no-tools,-3.1574175,-2.687865,-0.043098737,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet-20241022,claude-3.5-sonnet-20241022@max-common,max,lmarena-text-style-controlled,-0.15169102,-0.1797611,0.039130952,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet-20241022,claude-3.5-sonnet-20241022@max-common,max,matharena-composite,-4.498799,-3.1748958,-0.06813272,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet-20241022,claude-3.5-sonnet-20241022@max-common,max,metr-time-horizon-1.1,-1.8204197,-1.6994416,-0.03405668,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet,claude-3.5-sonnet@max-common,max,lmarena-text-style-controlled,-0.3300583,-0.31125617,-0.038842704,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.5-sonnet,claude-3.5-sonnet@max-common,max,metr-time-horizon-1.1,-2.2448115,-1.9336842,-0.10032119,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@max-common,max,arc-agi-2-semi-private,-4.8980875,-5.281741,-0.0338038,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@max-common,max,hle-no-tools,-2.4369247,-2.423036,0.002148603,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@max-common,max,lmarena-text-style-controlled,-0.16178055,-0.1427843,-0.05767188,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@max-common,max,matharena-composite,-3.0785682,-2.8161855,-0.011710867,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@std-common,std,arc-agi-2-semi-private,-5.293305,-6.0762005,-0.08245504,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-3.7-sonnet,claude-3.7-sonnet@std-common,std,hle-no-tools,-2.4369247,-2.704714,0.024670383,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,arc-agi-2-semi-private,2.1972246,2.2454972,-0.68418854,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,frontiermath-v2-tier-4,1.974081,1.3704945,0.059471227,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,frontiermath-v2-tiers-1-3,2.2168715,1.9562281,0.0205149,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,hle-no-tools,0.15205869,-0.035062637,0.12057102,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,lmarena-text-style-controlled,0.5999,0.63529074,-0.05734057,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,simpleqa-verified-epoch-anti-abstention-v1-2-0,0.8856903,0.8239321,0.071601994,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,terminal-bench-4.0,0.2888533,-0.124704055,0.82866,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,vals-finance-agent-v2-partial,0.35888293,0.3819826,-0.0025928896,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@max-common,max,vending-bench-2,-3.5385728,-2.6792436,-0.6798154,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5.1,claude-fable-5.1@std-common,std,arc-agi-2-semi-private,1.6708063,1.4530454,0.36290932,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5,claude-fable-5@max-common,max,arc-agi-2-semi-private,2.0788333,2.044896,-0.314104,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5,claude-fable-5@max-common,max,deepswe-1.1,0.8395906,0.8666283,-0.010810304,true
17c60fe7-1141-4917-8975-d0209ed1a799,claude-fable-5,claude-fable-5@max-common,max,frontiermath-v2-tier-4,1.974081,1.1915119,0.09980686,true
